c,largest_lyapunov_exponent,z_span
2.020000000000000018e+00,2.850555586615357573e-01,2.406705689450615360e+00
2.024999999999999911e+00,2.770727103547249714e-01,2.397295137552275079e+00
2.030000000000000249e+00,2.969599292336857488e-01,2.400431508834214966e+00
2.035000000000000142e+00,2.696918725624128932e-01,2.397378816807283819e+00
2.040000000000000036e+00,2.821630000128263482e-01,2.390788725929659631e+00
2.044999999999999929e+00,2.743137493335777721e-01,2.386358048288763634e+00
2.049999999999999822e+00,1.012699037418357401e-01,1.627690978520671461e+00
2.054999999999999716e+00,2.542403832381299241e-03,1.585414586146689064e+00
2.060000000000000053e+00,9.013291827491730834e-04,1.549296615761905249e+00
2.064999999999999947e+00,1.896119801022959350e-01,2.377464100501695654e+00
2.069999999999999840e+00,-2.554516458400290548e-03,1.487660287912561552e+00
2.075000000000000178e+00,1.614932267099402075e-01,2.369360213343439270e+00
2.080000000000000071e+00,1.174507404435898815e-03,1.463112037634141549e+00
2.084999999999999964e+00,2.887931354405096074e-01,2.358757108553348303e+00
2.089999999999999858e+00,2.913652105521938873e-01,2.363546173638692238e+00
2.094999999999999751e+00,2.952471706921639405e-01,2.358235179911274848e+00
2.100000000000000089e+00,2.723198679711084091e-01,2.356284392272923078e+00
2.104999999999999982e+00,2.679915167488891581e-01,2.353145842950464584e+00
2.109999999999999876e+00,2.444366828714824302e-01,2.350352479017027374e+00
2.115000000000000213e+00,2.740153378389468819e-01,2.348810996700291476e+00
2.120000000000000107e+00,3.047866047038862991e-01,2.339090119299011672e+00
2.125000000000000000e+00,2.938000320352415207e-01,2.339288440136677139e+00
2.129999999999999893e+00,2.459495124645579012e-01,2.341296085541531902e+00
2.134999999999999787e+00,2.760335634694944251e-01,2.338442716961768753e+00
2.140000000000000124e+00,2.384094436212982893e-01,2.335545787282221397e+00
2.145000000000000018e+00,2.440190143909435339e-01,2.330806435353440342e+00
2.149999999999999911e+00,2.386364838103968156e-01,2.329264605883430317e+00
2.155000000000000249e+00,2.367206187161360331e-01,2.326767236488869184e+00
2.160000000000000142e+00,2.412745769781678706e-01,2.323248856451426647e+00
2.165000000000000036e+00,2.486774269142507932e-01,2.320745562664865869e+00
2.169999999999999929e+00,2.212767048434847728e-01,2.315010424223947982e+00
2.174999999999999822e+00,2.438432292631552700e-01,2.309330840605654078e+00
2.179999999999999716e+00,2.052325592567041113e-01,2.308711866230258369e+00
2.185000000000000053e+00,2.617054377961658962e-01,2.303127066230407305e+00
2.189999999999999947e+00,1.986282006212694295e-01,2.307033178652658556e+00
2.194999999999999840e+00,2.267508486635391174e-01,2.297883102580583703e+00
2.200000000000000178e+00,2.393402723401846788e-01,2.300951604019709329e+00
2.205000000000000071e+00,2.084143528934076783e-01,2.294916373771680895e+00
